Surface melt rate,,,,
419.46,3.89,176,315.6,32
294.97,5.02,132,321.2,32
169.23,0,58,320,33
59.96,0,13,315,34
7.55,0,0,320.8,36
0,0,0,293.8,39
0,0,0,284.8,42
0,0,0,284.6,47
0,0,0,284.4,68
0,0,0,296.2,69
0,0,0,305.8,73
0,0,0,300.2,71
20.45,0,0,303.8,69
95.85,0,7,304.4,72
215.88,0,21,309.4,72
347.1,0,64,315.8,69
474.34,16.15,195,318,67
589.54,1.67,195,325,61
679.06,100.44,331,324,48
744.02,205.93,360,333,46
723.56,163.06,375,331,39
700.06,631.26,229,322.8,34
633.88,491.45,264,305.4,31
540.48,713.16,154,298.6,29
426.25,680.3,133,288.4,34
297.44,624.33,108,278.4,32
171.41,566.24,75,277.6,39
64.27,329.75,50,286,46
7.66,0,0,269.2,46
0,0,0,277.2,43
0,0,0,265.6,39
0,0,0,262.6,39
0,0,0,261,44
0,0,0,257.8,49
0,0,0,257.6,54
0,0,0,257.2,63
25.62,0,0,263.8,71
115.12,0,8,260.2,69
247.78,512.98,75,260,71
380.09,695.86,84,256.2,67
504.88,752.11,104,258.6,65
614.43,837.41,102,262,57
653.61,827.87,126,263,36
723.51,787.55,158,279.2,32
755.74,648.35,227,277.4,31
730.89,112.47,366,277.2,32
666.78,294.46,324,290,34
576.43,211.75,298,291.4,33
461.95,735.64,116,276.8,36
331.01,675.86,97,272,39
199.65,601.81,70,268.8,37
78.63,399.06,47,267.4,38
9.24,0,0,263.2,43
0,0,0,265.4,44
0,0,0,261.4,39
0,0,0,259.2,41
0,0,0,255.8,42
0,0,0,256,46
0,0,0,257.2,49
0,0,0,254.6,51
28.57,0,0,253.6,56
119.08,208.08,49,253,63
250.95,556.04,70,256.2,63
384.5,601.18,107,257.2,60
512.55,753.22,105,258.8,53
620.11,693.99,157,264,49
672.68,830.11,126,266,40
760.09,882.5,114,269.2,36
773.82,794.43,162,279.6,35
749,620.92,235,280.4,34
689.06,185.42,344,292.4,33
594.75,640.2,182,288.4,31
474.52,488.74,190,286.4,29
337.03,384.12,161,285.6,28
199.66,277.86,116,305,29
79.16,301.81,55,283.6,29
10.35,0,0,287,31
0,0,0,269,31
0,0,0,267.6,36
0,0,0,262.4,42
0,0,0,261.4,48
0,0,0,260.4,51
0,0,0,260.2,52
0,0,0,270,56
24.9,0,0,276.6,59
104.7,0,29,283.4,55
227.95,0,22,287.2,55
363.13,18.06,149,292.2,54
509.22,613.86,148,300.6,47
582.89,423.56,246,291.4,39
713.1,214.31,334,307.4,35
725.03,501.97,281,318.2,33
766.85,184.99,378,323.8,31
738.01,348.29,336,329.8,31
673.33,131.7,345,327.8,30
583.04,38.42,277,322.8,27
466.95,0,141,321,24
335.15,2.43,126,307.6,26
202.16,0,79,312.8,27
79.99,92.22,63,297.6,28
11.04,0,6,300.4,30
0,0,0,291.6,36
0,0,0,294.8,38
0,0,0,295.4,38
0,0,0,272.8,37
0,0,0,262.4,45
0,0,0,259.2,52
0,0,0,260.6,56
30.4,0,0,259,57
118.45,148.07,53,274.2,60
242.26,473.9,84,269.8,58
372.13,616.69,106,278.2,53
499.17,744,109,273.4,57
607.12,569.14,202,255.2,58
688.29,583.67,229,273,60
708.65,201.4,366,294.6,53
683.05,105.33,376,298,50
628.88,791.83,160,287.6,39
575.63,805.57,141,284.8,38
486.13,788.79,128,262.2,47
378.75,754.81,112,259.4,41
261.08,669.57,101,256.4,42
145.92,556.45,82,257.2,44
54.66,360.98,55,254,41
9.48,0,12,252.2,38
0,0,0,248,41
0,0,0,246.2,44
0,0,0,245.4,45
0,0,0,244.4,47
0,0,0,243.2,49
0,0,0,242.8,50
0,0,0,241.8,50
16.27,0,0,241.2,48
46.03,89.47,55,241.4,48
85.81,516.38,80,243,50
119.39,654.94,98,245.2,50
146.69,729.89,115,249.2,50
157.91,813.04,114,253.8,50
150.27,831.57,127,258,87
102.35,868.69,122,260.2,92
88.14,892.23,115,262,92
129.84,807.7,153,263.2,90
129.29,791.08,148,264.8,86
113.8,805.86,121,265.2,86
101.35,784.36,103,266.2,77
79.37,724.3,88,264.4,78
57.11,594.32,76,261.6,78
28.7,394.8,53,260,77
7.84,0,14,265.4,83
0,0,0,278.2,89
0,0,0,283.4,91
0,0,0,278.8,91
0,0,0,293.6,93
0,0,0,294.8,93
0,0,0,297.2,93
0,0,0,281.2,88
24.45,0,0,293.2,89
81.32,0,9,268.4,90
170.77,0,20,272.2,88
272.71,148.63,182,271.6,90
378.17,638.25,144,279,87
478.17,768.78,132,275.6,91
563.52,596.45,226,272.8,88
571.23,381.17,327,275,82
510.27,813.39,155,281.4,71
450.14,747.71,182,302,57
414.9,822.05,135,294.6,46
354.39,791.26,128,297.4,48
271.35,757.69,113,297.6,49
192.03,650.18,108,273,51
110.91,500.49,93,273.8,53
45.28,277.24,63,272.8,55
10.04,0,8,270.8,60
0,0,0,262.6,64
0,0,0,260,54
0,0,0,256.2,58
0,0,0,252.8,65
0,0,0,252,70
0,0,0,251.2,75
0,0,0,250.4,72
37.33,0,0,249.4,74
129.6,164.53,58,249.4,74
257.77,504.56,83,251.6,78
393.18,647.68,102,255.4,81
516.85,719.98,119,261.4,80
622.41,784.91,126,269.2,75
700.96,677.52,194,275.4,56
743.95,670.17,215,286.6,52
769.09,675.19,220,282.8,46
763.84,763.77,175,296.2,44
690.19,611.81,225,304.4,44
599.67,465.5,247,321.6,43
482.98,402.82,219,312,46
353.64,249.74,189,307.8,51
218.7,129.61,132,313.4,52
95.78,0,19,337.4,54
17.97,0,4,340.8,55
0,0,0,340.4,57
0,0,0,340.6,59
0,0,0,338.4,62
0,0,0,337.4,67
0,0,0,332.4,69
0,0,0,337.8,71
0,0,0,343.65,71
35.73,0,0,344.6,71
122.34,0,10,343.6,73
240.77,0,21,349.4,75
371.49,0,38,352.2,73
498.19,0,94,352.8,66
630.84,0,178,353.8,58
742.25,1.43,223,352,50
748.94,0,235,355,44
758.73,0,138,360.8,41
740.42,2.64,270,357.2,36
691.98,30.9,313,349.8,36
598.28,4.7,230,334.8,34
484.34,0,149,334.8,37
361.84,81.89,193,303.8,41
230.86,407.84,109,301.4,39
102.57,205.78,69,297.8,39
19.61,0,12,290.2,41
0,0,0,298.6,43
0,0,0,292.4,44
0,0,0,300.2,48
0,0,0,307.8,56
0,0,0,301,60
0,0,0,309,64
0,0,0,308.2,70
36.09,0,2,294.8,72
121.16,0,10,294.8,72
242.38,0,21,292,74
373.7,0,56,289.6,84
508.48,0,156,304.8,76
632.68,94.71,299,323.4,62
741.42,215.25,342,323,41
789.52,365.53,335,339.8,38
793.52,268.15,371,348.2,34
774.62,259.55,366,349.6,32
710.42,485.74,275,346.2,32
603.98,209.01,310,338.4,30
472.95,457.52,207,338,29
334.74,288.17,187,327.4,28
199.91,491.68,98,308.8,30
84.19,273.18,68,312.4,31
16.91,0,19,312.6,33
0,0,0,287.6,37
0,0,0,291.2,38
0,0,0,295.6,43
0,0,0,307.4,45
0,0,0,303,50
0,0,0,314.8,58
0,0,0,311.85,57
49.93,0,2,308,56
147.91,0,10,294.8,55
274.31,0,21,299.4,62
403.77,0,96,321.8,68
528.41,20.97,211,318.8,64
636.91,0,193,338.2,51
717.67,98.04,344,341.2,43
756.83,125.89,376,352.8,36
736.53,0,175,352.4,37
659.1,11.82,307,356.6,34
613.26,146.49,355,368,33
537.45,208.19,311,356,32
430.47,586.93,171,323.8,33
307.14,584.1,128,323.6,33
184.09,541.74,91,318.8,31
76.3,300.76,68,310.6,30
18.3,0,21,291.4,37
0,0,0,290.6,41
0,0,0,280.2,41
0,0,0,278.8,46
0,0,0,286.8,48
0,0,0,277.8,44
0,0,0,273,44
0,0,0,290.6,49
39.13,0,2,298,52
116.91,0,10,315,55
229.64,3.49,83,318,57
349.43,138.81,189,326.4,59
468.84,85.41,246,336,56
570.87,17.53,254,320.6,45
655.9,464.57,279,321.4,36
653.33,1.32,249,329.8,38
682.91,19.32,330,340.2,34
550.58,5.24,283,349.4,33
483.84,0,132,346.8,34
407.52,0,77,348,32
311.89,0,122,351.6,39
212.35,0,97,350.4,48
124.95,83.05,134,351.8,46
55.38,0,46,348.8,37
14.98,0,18,341,37
0,0,0,353.8,40
0,0,0,352.4,42
0,0,0,338.4,45
0,0,0,342.8,50
0,0,0,350.2,55
0,0,0,357,61
0,0,0,355.85,63
35.39,0,2,356.4,67
105.19,0,11,354.6,69
206.59,0,22,353.8,71
317.49,0,33,353.4,71
431.58,0,86,356,72
531.33,0,168,359.6,66
605.56,0,185,360,56
647.54,0,196,357.6,48
666.83,0,155,356.8,41
586.38,5.22,284,353.2,38
550.98,19.41,302,348.6,46
493.72,87.89,312,341.2,44
407.48,349.59,237,333.8,40
305.37,9.12,157,320.8,42
197.73,0,70,310.2,41
94.3,26,67,310.8,39
23.23,0,24,309,38
0,0,0,302,44
0,0,0,308.6,48
0,0,0,312.4,51
0,0,0,313.6,53
0,0,0,289,53
0,0,0,285.4,53
0,0,0,283.2,57
42.01,0,2,284.8,70
118.85,236.14,64,286,67
234.9,506.96,90,279.6,77
365.74,621.09,113,289.6,73
499.27,713.26,126,282,66
614.91,805.49,121,289.2,58
697.54,853.26,121,288.2,50
705.85,922.56,98,291.8,44
695.09,913.42,107,301.2,39
679.16,942.89,89,313,37
627.02,874.78,113,311,35
551.98,858.87,103,305.8,34
448.55,795.24,104,301.8,34
330.89,673.06,108,307,33
210.51,342,125,308.8,33
99.52,117.79,79,307.6,34
22.15,0,24,285.8,35
0,0,0,283.8,37
0,0,0,272.8,39
0,0,0,267.6,49
0,0,0,267,60
0,0,0,264,64
0,0,0,264.2,63
0,0,0,264.6,64
35.7,0,2,269.4,66
88.97,5.82,48,265.4,67
159.55,163.09,128,276.6,74
219.23,711.15,91,268.2,74
284.93,755.43,112,270.8,65
331.38,820.27,116,275.4,58
158.94,853.71,121,280.6,53
356.12,924.14,97,281,53
373.64,914.95,106,283.6,65
439.87,942.98,89,288,59
461.74,859.8,121,288.4,62
358.57,797.71,130,290.2,60
284.38,797.17,104,295.2,47
207.67,687.18,106,294.6,51
128.99,640.85,77,291.2,54
63.43,499.67,54,290,46
24.74,0,24,287.8,43
0,0,0,281.2,47
0,0,0,278,46
0,0,0,275.8,48
0,0,0,274.8,45
0,0,0,276,49
0,0,0,275.2,53
0,0,0,276,51
41.38,0,3,277.8,49
85.38,378.54,57,279.4,53
152.95,630.49,71,284,58
228.09,686.09,98,289.4,64
293.52,756.31,113,292.2,61
331.85,791.04,128,289.8,43
442.9,546.17,252,298.2,39
516.15,419.75,322,309.4,40
628.58,848.99,141,316.4,38
664.01,893.94,115,315.8,42
612.01,560.58,252,309,53
527.7,627.17,198,301.6,42
424.48,699.06,139,300,39
310.75,627.31,122,302.4,36
197.35,521.43,100,299.6,49
95.73,273.73,76,299.6,55
27.15,0,26,299,60
0,0,0,297,58
0,0,0,297.4,61
0,0,0,305.4,60
0,0,0,307,61
0,0,0,311.8,52
0,0,0,324.8,49
0,0,0,308.2,51
64.82,0,3,307.6,56
155.65,5.66,51,308.2,57
273.78,0,61,312.4,57
407.24,279.75,184,319.2,56
527.27,511.71,189,326.8,55
626.58,599.02,202,334.2,54
703.39,546.19,253,343.2,49
764.7,735.77,191,348.4,49
748.63,0,151,356.6,43
751.61,16.8,321,374.2,39
674.23,0,84,384.2,36
572.05,0,71,384.6,37
451.97,0,80,379.8,37
323.41,0,65,366.4,35
200.98,0,57,354.6,35
94.66,93.29,82,343.8,34
27.25,0,11,336.8,36
0,0,0,314.8,37
0,0,0,288.4,39
0,0,0,274.4,43
0,0,0,270,48
0,0,0,268.8,50
0,0,0,267,52
6.99,0,0,265.4,51
45.52,0,3,263.8,54
132.97,301.86,64,262.4,54
242.88,624.93,73,263.6,55
366.16,715.05,92,268.6,58
480.77,730.65,122,278.4,59
580.45,337.78,284,302.2,55
650.41,384.63,310,298.4,45
729.52,203.06,380,323.4,39
561.75,20.3,334,334.4,36
656.47,3.87,280,315.6,33
591.92,8.2,279,329.4,31
506.82,39.42,294,329.2,32
404.03,234.12,264,332.4,33
287.2,8.87,163,320.6,36
178.61,18.23,123,320.2,35
83.34,101.79,84,321.6,36
23.73,0,18,334.2,39
0,0,0,329.8,45
0,0,0,329.6,72
0,0,0,306.4,78
0,0,0,308.2,81
0,0,0,306.6,80
0,0,0,301.6,83
6.84,0,0,288,86
49.33,0,3,286.6,88
149.16,0,42,279.8,90
274.8,214.66,130,280.4,91
408.6,531.04,138,282,83
536.7,595.21,166,285.2,70
640.88,807.94,122,288.4,66
727.48,841.2,128,292.6,60
788.46,909.22,106,298.4,55
782.12,933.23,97,297.4,44
738.26,945.51,88,294.6,38
679.52,877.82,114,294.4,31
579.16,863.14,103,291.2,34
456.44,830.43,94,288.2,30
321.13,747.59,91,285.6,31
194.8,663.34,75,283.2,33
80.23,512.27,57,280.6,36
25.67,331.64,26,278.6,37
0,0,0,275.8,38
0,0,0,272.6,46
0,0,0,271,53
0,0,0,269,55
0,0,0,267.4,52
0,0,0,266.6,51
5.85,0,0,267.4,50
29.34,0,3,266.2,55
96.67,103.83,73,271.6,61
189.4,682.73,63,272.2,63
300.6,758.21,81,279.6,63
422.8,788.76,103,285.4,63
535.19,838.63,110,289.8,60
629.59,857.43,120,295,69
687.97,860.71,131,300.2,71
738.04,866.89,133,303.2,72
725.45,946.02,88,304.6,59
679.87,878.38,114,306.4,51
578.27,880.21,96,307.6,45
461.96,816.82,99,308.8,44
333.72,763.68,87,309.6,43
211.27,676.6,73,308.8,40
101.17,544.09,54,308,48
30.23,312.3,28,305.6,48
0,0,0,300.2,50
0,0,0,297.4,53
0,0,0,296.4,55
0,0,0,295.6,67
0,0,0,295,70
0,0,0,294.6,73
7.89,0,0,293.8,77
62.38,0,3,293,77
165.23,508.41,49,293.4,82
289.35,685.34,63,295.8,86
417.84,704.03,96,299.8,78
540.85,775.49,108,304.8,63
643.02,808.75,123,313.6,60
717.06,825.22,136,319,55
669.09,860.35,131,323.8,51
573.34,884.13,124,327,44
599.12,946.61,88,329,44
560.58,879.03,113,329.6,50
499.15,832.65,118,328.8,55
412.85,787.63,110,328.2,47
311.16,736.06,96,325.6,46
205.23,669.01,75,317.76,43
111.7,458.43,65,313.46,46
38.22,233.36,32,309.16,47
0,0,0,304.86,51
0,0,0,300.56,54
0,0,0,296.25,55
0,0,0,291.95,57
0,0,0,287.65,56
0,0,0,283.35,57
7.36,0,0,279.05,64
54.17,241.32,22,274.75,60
142.62,48.21,69,270.44,56
253.7,214.24,131,266.14,54
370.95,74.33,191,261.84,54
485.3,388.54,221,257.54,53
581.27,422.86,259,253.24,50
653.02,277.77,338,297.6,47
755.27,91.69,377,281.6,45
798.61,138.48,394,281.4,42
570.02,33.24,348,273.8,39
537.29,347.84,327,274.8,39
478.73,428.69,267,265.4,40
395.25,8.74,211,264.8,40
298.13,0,68,262.4,38
202.7,35.45,134,266.8,37
106.09,472,63,275.4,37
35.09,267.4,32,260.8,38
0,0,0,258.2,37
0,0,0,262.8,35
0,0,0,279.2,34
0,0,0,258,37
0,0,0,257.6,39
0,0,0,257.8,41
7.92,0,0,250,46
56.61,0,6,242,49
139.38,387.58,61,235.8,52
236.12,603.97,77,237.2,54
336.87,641.29,110,239.8,54
437.66,415,215,250.8,57
523.64,105.11,310,253,57
584.5,201.4,352,278.2,55
616.03,162.44,383,282.6,67
632.3,15.08,325,280.6,61
630.7,0,197,295.6,51
573.11,1.35,244,319.4,53
496.6,0,199,311.8,53
393.78,1.74,177,312.4,54
285.44,6.49,162,305.2,52
182.54,26.42,130,296.4,56
90.86,4.58,62,306.4,51
28.68,58.08,35,291,52
0,0,0,281.8,56
0,0,0,261.2,59
0,0,0,251.4,61
0,0,0,251,61
0,0,0,253,65
0,0,0,252.6,63
6.14,0,0,251,63
42.01,0,16,244.2,57
113.77,437.03,57,243.6,59
206.87,28.93,118,245.6,60
311.8,505.44,143,248,61
423.86,735.06,118,250.8,60
520.96,811.55,117,257.4,59
602.12,860.71,114,261,55
659.18,880.39,115,263.8,50
602.67,871.97,124,260.6,45
586.62,899.22,107,266,43
541.66,882.78,106,266,43
467,776.99,137,265.2,45
372.2,776.47,111,268.4,39
268.45,711.4,101,268.4,39
169.41,577.71,93,266.2,40
82.21,485.24,63,266,41
29.03,246.37,34,263.8,47
0,0,0,260.4,49
0,0,0,262.4,48
0,0,0,266.8,51
0,0,0,281.2,66
0,0,0,292.2,77
0,0,0,305,80
5.7,0,0,305,84
33.23,0,4,309.6,86
84.76,0,13,304.4,89
166.85,0,23,299.4,90
268.15,0,119,289.6,91
386.93,203.85,257,272.2,93
495.38,768.54,135,270.4,94
591.61,739.74,170,280.6,92
664.95,756.97,177,296.4,83
631,732.81,195,274,74
544.13,680.26,216,285.6,65
537.31,239.43,356,293.8,60
387.53,299.05,306,286.6,54
321.34,405.25,232,292.6,51
237.16,109.5,214,289,54
157.95,162.45,152,310,50
83.41,143.77,91,321.2,51
32.9,0,17,319.8,54
0,0,0,321,58
0,0,0,313.2,60
0,0,0,325.2,63
0,0,0,335.8,69
0,0,0,336.4,74
0,0,0,344.8,74
7.84,0,0,331.65,64
47.23,0,4,330.8,66
133.26,0,13,331.4,67
244.7,0,24,331.8,71
370.35,0,74,334.6,73
499.77,5.45,192,337.8,73
618.36,0,200,341.8,62
734.21,1.37,235,343.2,65
749.22,0,208,347.2,59
776.45,0,167,352,50
754.35,0,177,353.8,48
709.19,0,218,355.8,44
620.02,0,183,356.6,42
507.59,0,88,362.4,41
380.97,0,86,361.4,42
249.03,0,56,356.2,42
127.93,4.45,63,357.8,40
44.07,0,23,350,51
0,0,0,348.4,55
0,0,0,335.6,57
0,0,0,305.6,65
0,0,0,293.8,69
0,0,0,286,71
0,0,0,283.4,69
6.7,0,0,284,63
40.05,0,4,282.2,68
101.28,113.42,78,281.8,71
179.52,501.95,97,282.8,72
265.1,682.35,101,283.6,75
346.1,750.66,114,290.2,73
422.1,813.74,116,301.6,71
510.48,754.12,164,295.8,69
528.23,786.94,163,312.8,65
506.36,600.82,258,320.4,62
515.2,398,336,316.2,50
454.33,266.7,352,342.4,57
397.1,131.83,327,350.4,55
320,440.88,223,336.2,56
236.3,688.35,109,335,53
151.61,614.18,88,334.8,56
77.83,463.62,68,313.2,57
28.77,214.87,38,321,58
0,0,0,302,62
0,0,0,297.4,68
0,0,0,293.6,72
0,0,0,292.4,76
0,0,0,291.6,83
0,0,0,291,84
9.13,0,0,290,79
60.75,0,4,287.8,77
161.58,379.28,65,287.2,68
287.17,576.3,85,287.4,63
422.05,669.44,105,290.2,63
552.8,722.29,124,294.8,62
677.05,783.51,129,297.4,61
736.45,799.75,143,302.6,55
770.16,848.71,132,305.8,46
802.7,857.04,132,307.4,43
777.85,804.99,157,309.2,43
722.22,598.07,239,312.8,40
635.57,475.98,256,317.2,37
525.61,424.27,229,322.6,37
395.51,99.82,216,328.8,39
262.32,125.65,155,338.8,41
138.85,0,32,343.8,43
49.88,0,6,346.4,45
0,0,0,355.2,44
0,0,0,351.6,43
0,0,0,357.4,51
0,0,0,356.2,60
0,0,0,350.2,66
0,0,0,362.2,69
9.88,0,0,361.45,71
63.16,0,4,364.2,74
163.29,0,13,362,76
286.11,0,24,363,78
416.08,0,65,364.2,76
538.83,0,68,362.6,59
645.78,0,127,357.4,50
725.35,0,146,353,41
722.48,1.28,260,354.4,35
704.05,1.25,272,357.2,32
649.47,3.79,279,356.8,31
576.82,0,219,361.6,35
481.37,0,152,353,33
374.09,89.1,274,347,35
264.55,0,134,339.4,38
162.65,349.61,137,325.6,42
80.78,260.84,89,316.2,48
30.41,52.02,39,309.4,53
0,0,0,302.2,66
0,0,0,296.4,69
0,0,0,291.4,68
0,0,0,289.4,69
0,0,0,304.8,72
0,0,0,293.4,69
10.39,0,0,301.4,73
59.57,0,4,328,62
153.68,0,13,336,60
273.2,0,51,339,62
404.34,88.78,199,330.6,63
533.72,417.01,217,320.8,62
651.46,289.12,298,342,60
748.09,125.72,359,359.6,55
796.41,338.5,352,354.2,49
827.02,232.75,390,356.2,44
791.41,92.16,387,332,40
727.68,473.52,289,326.8,35
636.13,558.14,227,341.8,34
520.08,569.26,186,343.6,32
391.41,523.32,155,319.6,31
260.3,574.44,98,328.8,36
138.62,90.65,94,319.8,39
51.43,205.11,41,297.8,46
0,0,0,300.2,47
0,0,0,290.8,44
0,0,0,292.2,47
0,0,0,287.8,52
0,0,0,286.2,52
0,0,0,286.8,53
9.7,0,0,284.8,62
50.59,0,4,283.8,73
135.61,136.45,80,284.6,75
246.73,634.65,75,287.8,70
371.96,711.44,94,292.2,68
500.23,766.35,109,297.4,60
617.52,814.56,116,299.8,49
713.14,862.86,113,302.4,36
739.38,865.26,124,304.8,34
801.22,840.53,142,309.4,31
780.95,805.75,157,330.2,31
732.67,853.82,122,327.4,29
627.05,793.87,132,326.8,27
505.48,559.48,189,342.2,26
369.77,336.63,198,315.4,24
238.91,197.25,156,315.8,21
121.66,77.18,94,310.4,28
52.45,59.03,40,314.6,28
0,0,0,315.4,31
0,0,0,313.6,35
0,0,0,322.4,38
0,0,0,322,44
0,0,0,323,54
0,0,0,324.4,56
8.37,0,0,310.45,55
47.79,0,4,312,59
133.63,0,44,321.8,65
242.78,21.95,120,324.8,69
367.38,127.12,202,321.8,68
498.16,99.08,260,329.6,64
619.67,45.81,294,338,54
719.4,47.75,335,331.8,42
779.17,224.42,381,332.6,35
803.05,45.96,371,342.4,34
784.91,0,239,354.2,34
730.69,26.61,324,370.8,33
632.35,0,85,366.6,35
511.46,657.05,157,367.2,34
373.88,616.86,132,359.4,34
239.86,575.4,99,355.2,32
121.26,17.05,80,326.2,30
45.55,258.18,40,307,27
0,0,0,302,28
0,0,0,300.6,30
0,0,0,300.4,38
0,0,0,306.8,44
0,0,0,310,55
0,0,0,315.4,75
9.56,0,0,320.85,76
59.05,0,4,341.4,77
161.63,0,13,361.4,70
288.32,0,24,365.6,70
423.98,0,36,368.4,63
556.61,0,68,368.4,56
669.98,0,173,369.4,44
738.25,0,162,370.4,37
799.07,0,236,373.6,33
789.73,0,172,377,31
797.66,0,139,382.4,30
741.4,0,131,385.4,28
617.94,0,109,386.4,33
517.38,0,82,386.2,31
399.09,0,109,383.6,30
273.23,0,104,373,28
150.29,0,0,356.2,28
59.41,82.34,44,340.6,29
0,0,0,333,31
0,0,0,308.2,31
0,0,0,305.6,33
0,0,0,313.6,36
0,0,0,312.4,40
0,0,0,305,45
11.86,0,0,305,49
71.63,0,4,311.4,51
177.41,0,13,292.2,57
303.36,0,24,297,64
434.97,2.27,140,321.2,68
559.43,0,140,344.2,58
666.48,0,0,355,47
721.28,163.49,360,347,38
797.58,194.83,386,332.8,33
783.53,246.82,388,339.6,29
666.91,0,0,344.4,29
717.48,146,370,333.2,35
619.59,144.89,333,320.6,33
502.3,335.78,255,337.4,32
370.49,2.09,150,336,30
243.35,16.72,132,340,29
129.14,0,65,371.4,28
44.67,0,28,370.4,30
7.21,0,0,361,32
0,0,0,362.4,32
0,0,0,359.6,33
0,0,0,356.8,34
0,0,0,351.6,42
0,0,0,347.2,46
12.33,0,0,335.65,53
72.63,0,5,294.6,58
178.34,304.91,73,285.4,64
304.27,490.35,101,275.4,73
435.92,636.24,114,278,66
562.55,622.07,158,291,52
672.8,813.99,117,282,41
757.04,847.04,121,287.4,36
805.56,866.7,123,297,32
787.92,889.94,116,305,31
758.85,821.57,149,301.8,37
696.83,853.88,123,306.8,35
610.62,811.22,125,328.6,33
500.08,768.65,118,326.8,27
371.27,683.23,114,329.8,27
244.23,472.29,120,330.6,32
127.94,167.73,99,324.8,35
43.51,145.25,45,320.6,36
6.98,0,0,289.2,42
0,0,0,287,52
0,0,0,285,64
0,0,0,283,65
0,0,0,283.8,57
0,0,0,281.4,73
10.38,0,0,283.6,75
50.98,0,5,280.6,72
132.38,249.57,77,281.6,73
241.67,527.46,95,283,72
366.62,647.28,112,286.2,66
493.77,724.3,124,289.8,58
614.56,800,123,295,47
710.39,831.75,128,298,38
762.02,758.18,178,300,33
769.02,841.13,142,302.4,35
739.95,869.94,124,305.2,32
678.34,903.44,98,310,27
567.46,811.74,125,312.2,27
439.66,797.9,107,307,26
305.41,708.86,107,305,24
188.48,637.12,88,307,24
93.23,530.15,65,309.4,22
33.91,319.99,39,306.2,26
7.02,0,0,301.2,33
0,0,0,298.6,38
0,0,0,304,48
0,0,0,297.6,45
0,0,0,297,44
0,0,0,294.2,43
9.88,0,0,295.6,44
40.34,0,5,298.4,50
105.92,0,29,293,58
195.49,539.74,93,299.6,58
306.6,599.62,124,298,54
427.59,600.18,165,300.4,48
546.06,481.43,244,306.4,39
652.62,628.75,220,312.4,36
732.48,850.73,131,314,32
725.62,858.06,133,322.4,32
603.39,265.96,379,340.8,32
576.3,578.42,249,333.6,33
521.74,708.79,170,341.8,32
438.05,685.38,149,335.6,30
329.59,14.52,184,339.2,29
217.49,165.77,161,338,33
114.54,112.25,100,332.4,34
38.73,0,12,331.2,33
6.64,0,0,317.4,36
0,0,0,314.6,38
0,0,0,316.2,40
0,0,0,315.8,41
0,0,0,312.8,51
0,0,0,313.8,61
9.99,0,0,316.85,58
